Gene_ID,Sample_1_Reads,Sample_2_Reads
ANKRD20A19P,0,0
ANKRD20A2,10,0
ANKRD20A3,0,0
ANKRD20A4,4,0
ANKRD20A8P,0,0
ANKRD20A9P,30,4
ANKRD22,219,2
ANKRD23,82,0
ANKRD24,92,0
ANKRD26,369,0
ANKRD26P1,0,0
ANKRD26P3,0,0
ANKRD27,4184,2
ANKRD28,2458,583
ANKRD29,15,0
ANKRD30A,0,0
ANKRD30B,0,0
ANKRD30BL,0,0
ANKRD30BP2,0,0
ANKRD30BP3,0,0
ANKRD31,6,0
ANKRD33,0,0
ANKRD33B,5337,6
ANKRD34A,26,24
ANKRD34B,27,0
ANKRD34C,0,0
ANKRD34C-AS1,0,0
ANKRD35,2,0
ANKRD36,99,0
ANKRD36B,134,0
ANKRD36BP1,465,0
ANKRD36BP2,6,0
ANKRD36C,119,0
ANKRD37,393,0
ANKRD39,363,0
ANKRD40,3038,100
ANKRD42,198,2
ANKRD44,35,12
ANKRD45,4,0
ANKRD46,682,0
ANKRD49,276,0
ANKRD50,1116,0
ANKRD52,4179,1901
ANKRD53,7,0
ANKRD54,1099,0
ANKRD55,0,0
ANKRD6,80,0
ANKRD60,2,0
ANKRD62,0,0
ANKRD63,14,0
ANKRD65,54,2
ANKRD66,0,0
ANKRD7,0,0
ANKRD9,2528,0
ANKS1A,2604,6
ANKS1B,0,20
ANKS3,975,4
ANKS4B,0,0
ANKS6,1550,2
ANKUB1,2,0
ANKZF1,979,4
ANLN,15715,8
ANO1,2077,0
ANO10,535,10
ANO1-AS2,3,0
ANO2,0,0
ANO3,0,14
ANO4,0,0
ANO5,22,0
ANO6,2406,2
ANO7,24,0
ANO8,1042,0
ANO9,208,2
ANOS1,66,0
ANP32A,7534,80
ANP32A-IT1,12,0
ANP32AP1,10,0
ANP32B,14289,672
ANP32C,16,0
ANP32D,0,0
ANP32E,3856,154
ANPEP,7077,12
ANTXR1,834,8
ANTXR2,131,202
ANTXRL,4,0
ANXA1,35650,2
ANXA10,106,0
ANXA11,4894,4
ANXA13,4,2
ANXA2,22418,28
ANXA2P1,4,0
ANXA2P2,11440,10
ANXA2P3,4,0
ANXA2R,54,0
ANXA3,5725,0
ANXA4,2217,12
ANXA5,7774,8
ANXA6,2191,72
ANXA7,4573,2
ANXA8,216,0
ANXA8L1,15,0
ANXA9,147,0
AOAH,4,0
AOC1,0,22
AOC2,575,0
AOC3,327,0
AOC4P,0,0
AOX1,508,10
AOX2P,23,0
AP1AR,2411,0
AP1B1,5534,22
AP1G1,5288,770
AP1G2,2670,73
AP1M1,2236,6
AP1M2,5072,4
AP1S1,5638,58
AP1S2,384,88
AP1S3,961,0
AP2A1,12629,400
AP2A2,1701,0
AP2B1,11300,946
AP2M1,22407,3128
AP2S1,8114,6
